fs,n,duration_s,min,max,peak,rms,md5,rel,label
16000,16000,1.0,-0.359375,0.30859375,0.359375,0.04653795617391111,0f622ec1c7fef3b68422a0aa2314f887,får/får_A_0.75m_stille_001_s01.wav,får
16000,16000,1.0,-0.37890625,0.28515625,0.37890625,0.04323023338234993,7ea591319842734c930b66ad046ba3b2,får/får_A_0.75m_stille_001_s02.wav,får
16000,16000,1.0,-0.32763671875,0.2392578125,0.32763671875,0.0399571301663144,c14eb49100a1fdf519870e0151e5d954,får/får_A_0.75m_stille_001_s03.wav,får
16000,16000,1.0,-0.32568359375,0.30029296875,0.32568359375,0.04424802661308626,7f40a10fb998f6ef7d281ed529a7e435,får/får_A_0.75m_stille_001_s04.wav,får
16000,16000,1.0,-0.37109375,0.2900390625,0.37109375,0.04376431487550934,56c933d4e85958ddc87b4e50d1abd027,får/får_A_0.75m_stille_001_s05.wav,får
16000,16000,1.0,-0.23681640625,0.19189453125,0.23681640625,0.03169097898294908,fc5acd2155f00f9dddd1a7889d4f1f2b,får/får_A_0.75m_stille_001_s06.wav,får
16000,16000,1.0,-0.2216796875,0.130859375,0.2216796875,0.02685837887816668,7fa53fd977f775d2eb4c134652a4b292,får/får_A_0.75m_stille_001_s07.wav,får
16000,16000,1.0,-0.33642578125,0.24853515625,0.33642578125,0.03462897610366516,79311116f4d4a30dab38e4486f9bebf8,får/får_A_0.75m_stille_001_s08.wav,får
16000,16000,1.0,-0.28662109375,0.23974609375,0.28662109375,0.03417254979773983,093afb7e3b5914b27844ca12d25bf08d,får/får_A_0.75m_stille_001_s09.wav,får
16000,16000,1.0,-0.30712890625,0.19921875,0.30712890625,0.034859832906666936,85a43d7e85e7b30cf829b2e51ffa1e97,får/får_A_0.75m_stille_001_s10.wav,får
16000,16000,1.0,-0.14990234375,0.13623046875,0.14990234375,0.020800493647457334,d83db61c963d1ff625e1aa5485b2ea14,får/får_A_1.5m_stille_001_s01.wav,får
16000,16000,1.0,-0.0791015625,0.06689453125,0.0791015625,0.010914099092571586,07e602badec0ab76e9a9949021e4a23f,får/får_A_1.5m_stille_001_s02.wav,får
16000,16000,1.0,-0.0810546875,0.06103515625,0.0810546875,0.010756575964979717,90cfadfe09c401645bc04c179fd09194,får/får_A_1.5m_stille_001_s03.wav,får
16000,16000,1.0,-0.0537109375,0.04150390625,0.0537109375,0.007702488788915769,29a61463c2ff2b3c7f3bc6b05b519d55,får/får_A_1.5m_stille_001_s04.wav,får
16000,16000,1.0,-0.10791015625,0.07421875,0.10791015625,0.013592110275769266,fa35702772172b84dbb29597dfaa2f69,får/får_A_1.5m_stille_001_s05.wav,får
16000,16000,1.0,-0.107421875,0.08154296875,0.107421875,0.013213370183858928,4d4663657c4a0a9fb55720ef55eb610f,får/får_A_1.5m_stille_001_s06.wav,får
16000,16000,1.0,-0.1298828125,0.1044921875,0.1298828125,0.015058487604615109,be8fb1cda00efcd563a712c59960a386,får/får_A_1.5m_stille_001_s07.wav,får
16000,16000,1.0,-0.15576171875,0.12451171875,0.15576171875,0.01826658584569939,97d079409259bb4ac2ab14f8c477a34a,får/får_A_1.5m_stille_001_s08.wav,får
16000,16000,1.0,-0.10888671875,0.07470703125,0.10888671875,0.012674113292962466,c6018d8dfaad8e9bc2475f9e4ca6a568,får/får_A_1.5m_stille_001_s09.wav,får
16000,16000,1.0,-0.15869140625,0.10302734375,0.15869140625,0.014805111069827102,9891d16371ef8cbf8a73dc83cdbd23ae,får/får_A_1.5m_stille_001_s10.wav,får
16000,16000,1.0,-0.57275390625,0.515625,0.57275390625,0.07855486169993112,ae077b887d3a1430088271cd3d4e3ec4,får/får_C_0.75m_stille_001_s01.wav,får
16000,16000,1.0,-0.37353515625,0.29150390625,0.37353515625,0.048736887272836045,448e978f569e1d9c76ea9e388a81922e,får/får_C_0.75m_stille_001_s02.wav,får
16000,16000,1.0,-0.35107421875,0.2734375,0.35107421875,0.04277787347846654,9f55beba1edb2f9ebc7302dcebc6b4ae,får/får_C_0.75m_stille_001_s03.wav,får
